10 0.009 0.024 0.014 
20 0.009 0.025 0.023 
30 0.014 0.028 0.033 
40 0.026 0.033 0.042 
50 0.043 0.037 0.052 
60 0.064 0.043 0.062 
70 0.084 0.051 0.072 
80 0.109 0.058 0.081 
90 0.137 0.068 0.091 
100 0.160 0.077 0.101 
110 0.189 0.083 0.111 
120 0.216 0.094 0.121 
130 0.241 0.104 0.130 
140 0.270 0.113 0.140 
150 0.296 0.124 0.150 
160 0.324 0.132 0.160 
170 0.351 0.143 0.170 
180 0.380 0.152 0.180 
190 0.407 0.162 0.189 
200 0.436 0.170 0.200 
210 0.463 0.180 0.209 
220 0.490 0.189 0.219 
230 0.517 0.199 0.229 
240 0.545 0.209 0.239 
250 0.568 0.218 0.249 
260 0.565 0.215 0.259 
270 0.565 0.216 0.269 
280 0.568 0.216 0.278 
290 0.568 0.216 0.288 
300 0.567 0.215 0.298 
310 0.567 0.216 0.308 
320 0.567 0.216 0.318 
330 0.566 0.216 0.328 
340 0.567 0.216 0.337 
350 0.567 0.217 0.347 
